Year,Team,Totals,TD,YDS,AVG,LG,REC,NO,FC,LOST,OWN,OPP,G20+,G40+,FUM
1988,c-p,Team Totals,0,1106,18.4,41,,60,0,,,,,,
1988,c-p,Opponents Totals,1,1379,21.2,92t,,65,,,,,,,
1988,chit,Team Totals,0,1410,20.4,53,,69,0,,,,,,
1988,chit,Opponents Totals,0,1060,18.9,44,,56,,,,,,,
1988,nyj,Team Totals,0,896,19.9,51,,45,1,,,,,,
1988,nyj,Opponents Totals,0,1130,20.2,51,,56,,,,,,,
1988,dal,Team Totals,0,1160,20.7,30,,56,0,,,,,,
1988,dal,Opponents Totals,0,1622,20.0,44,,81,,,,,,,
1988,latl,Team Totals,0,1345,21.0,51,,64,0,,,,,,
1988,latl,Opponents Totals,0,1129,21.7,57,,52,,,,,,,
1988,lbuf,Team Totals,0,1154,19.6,46,,59,0,,,,,,
1988,lbuf,Opponents Totals,0,1076,19.2,41,,56,,,,,,,
1988,stl,Team Totals,0,1181,18.5,46,,64,0,,,,,,
1988,stl,Opponents Totals,0,966,19.7,37,,49,,,,,,,
1988,det,Team Totals,0,978,17.8,44,,55,1,,,,,,
1988,det,Opponents Totals,0,1362,18.7,40,,73,,,,,,,
1988,lac,Team Totals,0,1191,20.2,73,,59,0,,,,,,
1988,lac,Opponents Totals,1,1563,19.3,93t,,81,,,,,,,
1988,ton,Team Totals,0,1408,20.1,57,,70,0,,,,,,
1988,ton,Opponents Totals,0,823,19.1,40,,43,,,,,,,
1988,nyb,Team Totals,0,1057,17.9,36,,59,0,,,,,,
1988,nyb,Opponents Totals,0,982,20.5,41,,48,,,,,,,
1989,lkc,Team Totals,0,1058,20.0,85,,53,0,,,,,,
1989,lkc,Opponents Totals,0,1187,15.8,40,,75,,,,,,,
1989,har,Team Totals,0,1164,19.4,49,,60,0,,,,,,
1989,har,Opponents Totals,0,1208,19.2,48,,63,,,,,,,
1989,llarm,Team Totals,1,1153,18.9,97t,,61,0,,,,,,
1989,llarm,Opponents Totals,0,1215,19.3,40,,63,,,,,,,
1989,min,Team Totals,0,1462,21.2,47,,69,0,,,,,,
1989,min,Opponents Totals,0,1199,19.7,60,,61,,,,,,,
1989,larm,Team Totals,0,1309,17.5,69,,75,0,,,,,,
1989,larm,Opponents Totals,0,1029,21.9,49,,47,,,,,,,
1989,bal,Team Totals,0,932,18.6,49,,50,0,,,,,,
1989,bal,Opponents Totals,0,1175,20.3,73,,58,,,,,,,
1989,lten,Team Totals,0,1285,17.4,63,,74,0,,,,,,
1989,lten,Opponents Totals,1,1024,17.4,97t,,59,,,,,,,
1989,dul,Team Totals,1,1304,23.3,84t,,56,0,,,,,,
1989,dul,Opponents Totals,0,1096,20.7,42,,53,,,,,,,
1989,atl,Team Totals,0,941,17.4,33,,54,1,,,,,,
1989,atl,Opponents Totals,0,1203,21.9,66,,55,,,,,,,
1989,ham,Team Totals,0,876,20.4,68,,43,0,,,,,,
1989,ham,Opponents Totals,0,1256,17.4,36,,72,,,,,,,
1989,jac,Team Totals,0,915,17.6,37,,52,0,,,,,,
1989,jac,Opponents Totals,2,1156,21.0,97t,,55,,,,,,,
1989,lind,Team Totals,0,1002,18.6,49,,54,0,,,,,,
1989,lind,Opponents Totals,2,1001,17.0,99t,,59,,,,,,,
1989,was,Team Totals,1,1246,19.2,97t,,65,0,,,,,,
1989,was,Opponents Totals,0,814,18.5,37,,44,,,,,,,
1989,col,Team Totals,1,1235,19.3,91t,,64,0,,,,,,
1989,col,Opponents Totals,1,1249,21.9,84t,,57,,,,,,,
1989,tol,Team Totals,0,926,18.2,43,,51,0,,,,,,
1989,tol,Opponents Totals,0,1306,17.9,63,,73,,,,,,,
1989,ltb,Team Totals,0,828,16.9,45,,49,0,,,,,,
1989,ltb,Opponents Totals,1,1307,21.8,93t,,60,,,,,,,
1989,lmin,Team Totals,1,1176,20.3,99t,,58,0,,,,,,
1989,lmin,Opponents Totals,1,1532,20.7,96t,,74,,,,,,,
1989,c-p,Team Totals,0,1650,19.9,52,,83,0,,,,,,
1989,c-p,Opponents Totals,0,1193,20.9,49,,57,,,,,,,
1989,chit,Team Totals,1,1709,22.2,97t,,77,0,,,,,,
1989,chit,Opponents Totals,0,853,18.5,34,,46,,,,,,,
1989,nyj,Team Totals,1,1122,22.0,93t,,51,0,,,,,,
1989,nyj,Opponents Totals,0,1287,18.9,44,,68,,,,,,,
1989,dal,Team Totals,0,1239,18.0,46,,69,1,,,,,,
1989,dal,Opponents Totals,0,1389,22.0,90,,63,,,,,,,
1989,latl,Team Totals,0,1272,20.9,62,,61,1,,,,,,
1989,latl,Opponents Totals,1,1037,16.0,99t,,65,,,,,,,
1989,lbuf,Team Totals,1,1539,21.1,96t,,73,0,,,,,,
1989,lbuf,Opponents Totals,0,1375,20.2,62,,68,,,,,,,
1989,stl,Team Totals,0,1055,17.0,36,,62,0,,,,,,
1989,stl,Opponents Totals,0,1143,20.8,72,,55,,,,,,,
1989,det,Team Totals,0,954,18.7,60,,51,0,,,,,,
1989,det,Opponents Totals,0,1435,18.9,37,,76,,,,,,,
1989,lac,Team Totals,0,1328,19.8,74,,67,0,,,,,,
1989,lac,Opponents Totals,0,1633,19.4,47,,84,,,,,,,
1989,ton,Team Totals,1,1284,20.4,99t,,63,0,,,,,,
1989,ton,Opponents Totals,0,983,17.9,72,,55,,,,,,,
1989,nyb,Team Totals,0,1509,18.9,72,,80,0,,,,,,
1989,nyb,Opponents Totals,0,1188,19.8,85,,60,,,,,,,
1990,lkc,Team Totals,0,1040,20.4,54,,51,0,,,,,,
1990,lkc,Opponents Totals,0,1129,15.5,35,,73,,,,,,,
1990,har,Team Totals,0,780,18.1,35,,43,1,,,,,,
1990,har,Opponents Totals,0,1092,20.6,38,,53,,,,,,,
1990,llarm,Team Totals,0,1189,18.3,44,,65,0,,,,,,
1990,llarm,Opponents Totals,0,961,19.6,38,,49,,,,,,,
1990,min,Team Totals,0,1129,18.5,63,,61,0,,,,,,
1990,min,Opponents Totals,1,1185,19.4,98t,,61,,,,,,,
1990,larm,Team Totals,0,1395,18.1,38,,77,0,,,,,,
1990,larm,Opponents Totals,0,665,17.5,38,,38,,,,,,,
1990,bal,Team Totals,0,1266,20.4,43,,62,1,,,,,,
1990,bal,Opponents Totals,0,945,22.0,64,,43,,,,,,,
1990,lten,Team Totals,0,861,18.3,64,,47,0,,,,,,
1990,lten,Opponents Totals,1,1329,18.7,101t,,71,,,,,,,
1990,dul,Team Totals,0,956,19.1,49,,50,2,,,,,,
1990,dul,Opponents Totals,1,1245,22.2,99t,,56,,,,,,,
1990,atl,Team Totals,2,1276,18.0,101t,,71,0,,,,,,
1990,atl,Opponents Totals,0,805,17.9,39,,45,,,,,,,
1990,ham,Team Totals,0,1237,19.3,87,,64,0,,,,,,
1990,ham,Opponents Totals,0,1026,20.9,90,,49,,,,,,,
1990,jac,Team Totals,0,784,17.0,46,,46,0,,,,,,
1990,jac,Opponents Totals,0,1391,17.2,50,,81,,,,,,,
1990,lind,Team Totals,0,985,19.7,71,,50,0,,,,,,
1990,lind,Opponents Totals,0,910,17.8,39,,51,,,,,,,
1990,was,Team Totals,0,1188,21.6,90,,55,0,,,,,,
1990,was,Opponents Totals,0,1048,16.9,75,,62,,,,,,,
1990,col,Team Totals,0,1260,19.1,75,,66,0,,,,,,
1990,col,Opponents Totals,0,1319,19.1,71,,69,,,,,,,
1990,tol,Team Totals,0,884,19.2,58,,46,1,,,,,,
1990,tol,Opponents Totals,1,1245,19.2,90t,,65,,,,,,,
1990,ltb,Team Totals,0,965,17.9,44,,54,2,,,,,,
1990,ltb,Opponents Totals,0,1408,19.0,40,,74,,,,,,,
1990,lmin,Team Totals,0,1113,18.0,37,,62,0,,,,,,
1990,lmin,Opponents Totals,0,1008,17.4,47,,58,,,,,,,
1990,c-p,Team Totals,1,1102,20.4,90t,,54,0,,,,,,
1990,c-p,Opponents Totals,1,1136,20.7,76t,,55,,,,,,,
1990,chit,Team Totals,0,1068,17.8,32,,60,0,,,,,,
1990,chit,Opponents Totals,0,1060,18.9,39,,56,,,,,,,
1990,nyj,Team Totals,0,879,16.3,59,,54,1,,,,,,
1990,nyj,Opponents Totals,0,1494,20.5,64,,73,,,,,,,
1990,dal,Team Totals,0,1175,18.7,55,,63,0,,,,,,
1990,dal,Opponents Totals,0,1036,24.1,65,,43,,,,,,,
1990,latl,Team Totals,0,1466,20.9,65,,70,1,,,,,,
1990,latl,Opponents Totals,1,1229,17.6,76t,,70,,,,,,,
1990,lbuf,Team Totals,1,1303,20.7,76t,,63,0,,,,,,
1990,lbuf,Opponents Totals,0,1125,20.1,87,,56,,,,,,,
1990,stl,Team Totals,0,1249,18.9,64,,66,1,,,,,,
1990,stl,Opponents Totals,0,1350,21.8,63,,62,,,,,,,
1990,det,Team Totals,0,965,18.2,35,,53,0,,,,,,
1990,det,Opponents Totals,0,1284,19.5,50,,66,,,,,,,
1990,lac,Team Totals,0,1205,20.8,58,,58,0,,,,,,
1990,lac,Opponents Totals,0,583,16.2,56,,36,,,,,,,
1990,ton,Team Totals,1,1279,20.3,99t,,63,1,,,,,,
1990,ton,Opponents Totals,0,1406,20.7,50,,68,,,,,,,
1990,nyb,Team Totals,1,1229,21.2,76t,,58,0,,,,,,
1990,nyb,Opponents Totals,0,814,16.6,37,,49,,,,,,,
1991,lkc,Team Totals,1,970,18.7,91t,,52,1,,,,20,1,
1991,lkc,Opponents Totals,0,1266,20.4,54,,62,,,,,,,
1991,har,Team Totals,0,1003,17.3,53,,58,1,,,,22,3,
1991,har,Opponents Totals,1,921,15.4,88t,,60,,,,,,,
1991,llarm,Team Totals,0,890,17.8,49,,50,0,,,,17,1,
1991,llarm,Opponents Totals,0,1270,19.2,39,,66,,,,,,0,
1991,min,Team Totals,1,1108,19.8,99t,,56,2,,,,25,2,
1991,min,Opponents Totals,0,850,16.7,49,,51,,,,,,,
1991,larm,Team Totals,1,1061,19.3,88t,,55,0,,,,22,1,
1991,larm,Opponents Totals,0,573,17.4,50,,33,,,,,,,
1991,bal,Team Totals,0,835,18.2,41,,46,0,,,,18,1,
1991,bal,Opponents Totals,0,1071,17.0,42,,63,,,,,,,
1991,lten,Team Totals,0,1314,19.6,54,,67,0,,,,31,4,
1991,lten,Opponents Totals,0,825,19.2,63,,43,,,,,,,
1991,dul,Team Totals,0,888,16.1,36,,55,0,,,,12,0,
1991,dul,Opponents Totals,0,1022,20.4,47,,50,,,,,,,
1991,atl,Team Totals,0,1225,17.8,63,,69,1,,,,23,1,
1991,atl,Opponents Totals,0,741,19.5,34,,38,,,,,,0,
1991,ham,Team Totals,0,687,18.6,55,,37,0,,,,14,1,
1991,ham,Opponents Totals,0,1096,17.7,38,,62,,,,,,0,
1991,jac,Team Totals,0,978,20.4,76,,48,0,,,,20,1,
1991,jac,Opponents Totals,0,1171,20.5,55,,57,,,,,,,
1991,lind,Team Totals,0,928,17.8,37,,52,0,,,,20,0,
1991,lind,Opponents Totals,1,1059,18.3,91t,,58,,,,,,,
1991,was,Team Totals,0,1280,21.3,55,,60,0,,,,32,4,
1991,was,Opponents Totals,0,858,16.8,38,,51,,,,,,0,
1991,col,Team Totals,1,1171,21.3,95t,,55,4,,,,29,4,
1991,col,Opponents Totals,0,1034,19.9,76,,52,,,,,,,
1991,tol,Team Totals,0,926,18.9,46,,49,1,,,,21,1,
1991,tol,Opponents Totals,0,1153,17.5,39,,66,,,,,,0,
1991,ltb,Team Totals,1,1127,21.7,102t,,52,0,,,,25,2,
1991,ltb,Opponents Totals,1,1169,16.9,82t,,69,,,,,,,
1991,lmin,Team Totals,0,764,16.3,33,,47,0,,,,14,0,
1991,lmin,Opponents Totals,0,1146,19.1,51,,60,,,,,,,
1991,c-p,Team Totals,0,917,18.3,51,,50,0,,,,17,2,
1991,c-p,Opponents Totals,0,940,17.1,36,,55,,,,,,0,
1991,chit,Team Totals,0,972,18.7,39,,52,0,,,,23,0,
1991,chit,Opponents Totals,1,958,22.8,99t,,42,,,,,,,
1991,nyj,Team Totals,0,1170,20.5,71,,57,0,,,,24,5,
1991,nyj,Opponents Totals,0,1095,17.4,53,,63,,,,,,,
1991,dal,Team Totals,0,763,17.0,31,,45,1,,,,14,0,
1991,dal,Opponents Totals,0,1134,19.6,47,,58,,,,,,,
1991,latl,Team Totals,0,899,20.4,50,,44,0,,,,20,3,
1991,latl,Opponents Totals,0,851,19.8,71,,43,,,,,,,
1991,lbuf,Team Totals,1,1197,20.0,82t,,60,1,,,,26,1,
1991,lbuf,Opponents Totals,0,942,20.5,56,,46,,,,,,,
1991,stl,Team Totals,0,1047,17.5,43,,60,0,,,,27,1,
1991,stl,Opponents Totals,0,720,22.5,55,,32,,,,,,,
1991,det,Team Totals,0,879,17.6,34,,50,0,,,,17,0,
1991,det,Opponents Totals,2,851,24.3,98t,,35,,,,,,,
1991,lac,Team Totals,1,997,19.2,100t,,52,1,,,,18,2,
1991,lac,Opponents Totals,1,1419,21.2,102t,,67,,,,,,,
1991,ton,Team Totals,1,1028,20.6,98t,,50,0,,,,21,3,
1991,ton,Opponents Totals,1,1288,19.5,100t,,66,,,,,,,
1991,nyb,Team Totals,0,1070,18.1,48,,59,1,,,,22,1,
1991,nyb,Opponents Totals,0,671,17.2,35,,39,,,,,,0,
1992,lkc,Team Totals,0,838,19.0,44,,44,0,,,,18,1,3
1992,lkc,Opponents Totals,0,1380,21.2,82,,65,,,,,,,
1992,har,Team Totals,0,761,18.6,35,,41,1,,,,16,0,1
1992,har,Opponents Totals,1,1215,20.3,75t,,60,,,,,,,
1992,llarm,Team Totals,0,1001,19.6,42,,51,0,,,,25,1,3
1992,llarm,Opponents Totals,0,630,17.5,34,,36,,,,,,0,
1992,min,Team Totals,0,950,17.6,45,,54,1,,,,20,1,4
1992,min,Opponents Totals,0,552,16.7,33,,33,,,,,,0,
1992,larm,Team Totals,1,1376,21.5,100t,,64,2,,,,30,4,3
1992,larm,Opponents Totals,0,749,16.6,39,,45,,,,,,0,
1992,bal,Team Totals,0,847,17.6,33,,48,1,,,,16,0,1
1992,bal,Opponents Totals,0,1052,20.2,48,,52,,,,,,,
1992,lten,Team Totals,0,885,19.2,42,,46,0,,,,22,1,2
1992,lten,Opponents Totals,0,989,15.7,35,,63,,,,,,0,
1992,dul,Team Totals,0,880,20.5,47,,43,0,,,,21,1,1
1992,dul,Opponents Totals,0,907,17.8,30,,51,,,,,,0,
1992,atl,Team Totals,0,1058,17.9,48,,59,1,,,,18,1,1
1992,atl,Opponents Totals,2,1079,23.5,100t,,46,,,,,,,
1992,ham,Team Totals,0,812,18.0,62,,45,0,,,,18,1,3
1992,ham,Opponents Totals,0,962,17.8,52,,54,,,,,,,
1992,jac,Team Totals,0,722,18.5,39,,39,0,,,,14,0,3
1992,jac,Opponents Totals,0,1203,18.8,42,,64,,,,,,,
1992,lind,Team Totals,0,1028,20.2,64,,51,0,,,,25,1,1
1992,lind,Opponents Totals,0,254,19.5,47,,13,,,,,,,
1992,was,Team Totals,0,744,17.3,41,,43,0,,,,14,1,2
1992,was,Opponents Totals,0,690,19.7,47,,35,,,,,,,
1992,col,Team Totals,0,885,17.7,34,,50,0,,,,19,0,0
1992,col,Opponents Totals,0,685,19.0,64,,36,,,,,,,
1992,tol,Team Totals,0,699,18.9,59,,37,0,,,,17,1,0
1992,tol,Opponents Totals,0,1217,20.3,42,,60,,,,,,,
1992,ltb,Team Totals,0,987,20.6,45,,48,0,,,,23,3,0
1992,ltb,Opponents Totals,1,1027,19.4,92t,,53,,,,,,,
1992,lmin,Team Totals,0,973,20.3,47,,48,0,,,,22,4,2
1992,lmin,Opponents Totals,1,1074,19.9,99t,,54,,,,,,,
1992,c-p,Team Totals,1,1098,19.6,92t,,56,0,,,,22,2,1
1992,c-p,Opponents Totals,0,1207,18.9,56,,64,,,,,,,
1992,chit,Team Totals,0,1127,22.1,63,,51,0,,,,27,3,1
1992,chit,Opponents Totals,0,767,18.3,43,,42,,,,,,,
1992,nyj,Team Totals,0,874,19.4,53,,45,0,,,,24,1,3
1992,nyj,Opponents Totals,0,925,18.5,47,,50,,,,,,,
1992,dal,Team Totals,0,1017,18.8,50,,54,0,,,,22,1,0
1992,dal,Opponents Totals,0,901,15.8,48,,57,,,,,,,
1992,latl,Team Totals,0,881,17.6,39,,50,0,,,,17,0,2
1992,latl,Opponents Totals,1,1236,25.2,89t,,49,,,,,,,
1992,lbuf,Team Totals,1,1143,20.4,97t,,56,0,,,,29,2,1
1992,lbuf,Opponents Totals,0,1027,20.5,55,,50,,,,,,,
1992,stl,Team Totals,1,1193,20.2,89t,,59,2,,,,26,5,0
1992,stl,Opponents Totals,0,948,21.1,39,,45,,,,,,0,
1992,det,Team Totals,0,879,20.9,82,,42,2,,,,20,2,2
1992,det,Opponents Totals,0,1273,19.3,45,,66,,,,,,,
1992,lac,Team Totals,0,815,19.4,48,,42,0,,,,17,1,3
1992,lac,Opponents Totals,0,923,23.1,60,,40,,,,,,,
1992,ton,Team Totals,2,1532,23.9,99t,,64,1,,,,31,9,4
1992,ton,Opponents Totals,0,1059,19.3,39,,55,,,,,,0,
1992,nyb,Team Totals,0,1054,16.7,35,,63,0,,,,21,0,6
1992,nyb,Opponents Totals,0,1128,20.5,60,,55,,,,,,,
1993,lkc,Team Totals,0,746,16.6,28,,45,0,,,,12,0,0
1993,lkc,Opponents Totals,0,850,19.8,49,,43,,,,,,,
1993,har,Team Totals,0,1068,21.8,48,,49,0,,,,29,1,2
1993,har,Opponents Totals,0,1239,20.0,40,,62,,,,,,,
1993,llarm,Team Totals,0,675,14.7,28,,46,0,,,,12,0,5
1993,llarm,Opponents Totals,0,911,19.4,45,,47,,,,,,,
1993,min,Team Totals,0,819,17.4,44,,47,1,,,,17,1,2
1993,min,Opponents Totals,0,921,20.9,42,,44,,,,,,,
1993,larm,Team Totals,0,1124,19.7,38,,57,0,,,,35,0,1
1993,larm,Opponents Totals,0,551,14.9,37,,37,,,,,,0,
1993,bal,Team Totals,0,589,19.0,37,,31,0,,,,12,0,1
1993,bal,Opponents Totals,0,1062,17.7,36,,60,,,,,,0,
1993,lten,Team Totals,0,878,16.9,44,,52,0,,,,16,1,2
1993,lten,Opponents Totals,1,1165,21.6,97t,,54,,,,,,,
1993,dul,Team Totals,0,1119,19.3,47,,58,0,,,,23,1,1
1993,dul,Opponents Totals,0,814,17.7,49,,46,,,,,,,
1993,atl,Team Totals,0,1211,19.9,45,,61,3,,,,29,2,0
1993,atl,Opponents Totals,0,831,21.9,66,,38,,,,,,,
1993,ham,Team Totals,0,875,19.4,47,,45,1,,,,20,3,2
1993,ham,Opponents Totals,0,1007,20.6,60,,49,,,,,,,
1993,jac,Team Totals,0,1061,20.4,66,,52,0,,,,23,5,1
1993,jac,Opponents Totals,0,783,17.4,49,,45,,,,,,,
1993,lind,Team Totals,0,717,18.4,49,,39,0,,,,12,2,1
1993,lind,Opponents Totals,0,1119,17.8,68,,63,,,,,,,
1993,was,Team Totals,0,901,19.2,60,,47,0,,,,16,3,1
1993,was,Opponents Totals,0,1063,16.6,48,,64,,,,,,,
1993,col,Team Totals,0,931,18.6,46,,50,0,,,,20,1,2
1993,col,Opponents Totals,1,967,18.6,95t,,52,,,,,,,
1993,tol,Team Totals,0,758,21.1,49,,36,2,,,,19,2,2
1993,tol,Opponents Totals,1,1225,18.6,95t,,66,,,,,,,
1993,ltb,Team Totals,0,507,15.8,35,,32,1,,,,6,0,1
1993,ltb,Opponents Totals,0,646,22.3,68,,29,,,,,,,
1993,lmin,Team Totals,0,987,18.3,36,,54,0,,,,17,0,5
1993,lmin,Opponents Totals,0,1133,21.4,60,,53,,,,,,,
1993,c-p,Team Totals,0,951,21.1,48,,45,0,,,,20,3,0
1993,c-p,Opponents Totals,0,994,19.5,61,,51,,,,,,,
1993,chit,Team Totals,0,1166,19.8,68,,59,0,,,,25,2,0
1993,chit,Opponents Totals,0,722,20.1,43,,36,,,,,,,
1993,nyj,Team Totals,1,1204,23.2,95t,,52,1,,,,26,7,3
1993,nyj,Opponents Totals,0,609,20.3,64,,30,,,,,,,
1993,dal,Team Totals,0,1086,19.7,47,,55,0,,,,23,2,1
1993,dal,Opponents Totals,1,1420,24.5,99t,,58,,,,,,,
1993,latl,Team Totals,1,1483,24.7,95t,,60,0,,,,32,8,1
1993,latl,Opponents Totals,0,1407,20.1,68,,70,,,,,,,
1993,lbuf,Team Totals,0,811,18.0,55,,45,0,,,,16,3,1
1993,lbuf,Opponents Totals,0,918,17.3,35,,53,,,,,,0,
1993,stl,Team Totals,0,922,15.9,42,,58,1,,,,14,1,1
1993,stl,Opponents Totals,0,499,17.8,46,,28,,,,,,,
1993,det,Team Totals,0,715,17.9,60,,40,3,,,,16,1,3
1993,det,Opponents Totals,0,1196,19.6,50,,61,,,,,,,
1993,lac,Team Totals,1,1460,23.5,99t,,62,0,,,,35,6,3
1993,lac,Opponents Totals,0,788,19.7,47,,40,,,,,,,
1993,ton,Team Totals,1,1300,23.6,97t,,55,0,,,,36,4,2
1993,ton,Opponents Totals,0,1064,19.3,65,,55,,,,,,,
1993,nyb,Team Totals,0,824,16.8,35,,49,0,,,,16,0,3
1993,nyb,Opponents Totals,0,984,20.9,45,,47,,,,,,,
1994,lkc,Team Totals,0,1294,19.6,46,,66,0,,,,32,1,3
1994,lkc,Opponents Totals,2,1549,20.9,93t,,74,,,,,,,
1994,har,Team Totals,0,1123,17.8,36,,63,0,,,,32,0,1
1994,har,Opponents Totals,1,1375,21.8,80t,,63,,,,,,,
1994,llarm,Team Totals,1,1254,20.9,95t,,60,0,,,,30,1,4
1994,llarm,Opponents Totals,0,1316,20.2,47,,65,,,,,,,
1994,min,Team Totals,0,1345,18.7,42,,72,0,,,,30,1,6
1994,min,Opponents Totals,0,1455,20.2,45,,72,,,,,,,
1994,larm,Team Totals,0,1282,19.4,45,,66,0,,,,30,3,3
1994,larm,Opponents Totals,0,1195,19.6,52,,61,,,,,,,
1994,bal,Team Totals,0,1141,20.7,71,,55,1,,,,31,4,4
1994,bal,Opponents Totals,2,1530,22.5,95t,,68,,,,,,,
1994,lten,Team Totals,1,1031,24.5,85t,,42,1,,,,26,6,1
1994,lten,Opponents Totals,0,1372,19.3,54,,71,,,,,,,
1994,dul,Team Totals,0,1810,21.0,43,,86,0,,,,49,3,2
1994,dul,Opponents Totals,2,1408,23.1,94t,,61,,,,,,,
1994,atl,Team Totals,0,1436,19.4,44,,74,1,,,,32,3,4
1994,atl,Opponents Totals,0,832,17.3,35,,48,,,,,,0,
1994,ham,Team Totals,2,1636,24.1,90t,,68,0,,,,38,8,4
1994,ham,Opponents Totals,1,1740,22.0,93t,,79,,,,,,,
1994,jac,Team Totals,1,1300,22.0,91t,,59,0,,,,27,2,1
1994,jac,Opponents Totals,0,1447,21.9,41,,66,,,,,,,
1994,lind,Team Totals,0,1358,21.9,55,,62,0,,,,35,4,1
1994,lind,Opponents Totals,0,1406,21.6,68,,65,,,,,,,
1994,was,Team Totals,0,1523,20.3,41,,75,1,,,,40,2,0
1994,was,Opponents Totals,0,1396,19.9,62,,70,,,,,,,
1994,col,Team Totals,1,1467,21.9,93t,,67,0,,,,36,3,2
1994,col,Opponents Totals,0,1229,20.1,45,,61,,,,,,,
1994,tol,Team Totals,1,1284,25.7,87t,,50,0,,,,34,5,0
1994,tol,Opponents Totals,0,1709,20.8,67,,82,,,,,,,
1994,ltb,Team Totals,0,1328,18.2,36,,73,0,,,,31,0,5
1994,ltb,Opponents Totals,0,923,21.0,42,,44,,,,,,,
1994,lmin,Team Totals,0,1079,18.9,53,,57,0,,,,23,1,0
1994,lmin,Opponents Totals,1,1214,22.9,87t,,53,,,,,,,
1994,c-p,Team Totals,1,1441,21.5,94t,,67,0,,,,34,3,2
1994,c-p,Opponents Totals,0,1425,22.3,68,,64,,,,,,,
1994,chit,Team Totals,0,1685,23.7,86,,71,0,,,,45,6,2
1994,chit,Opponents Totals,1,1389,22.4,96t,,62,,,,,,,
1994,nyj,Team Totals,0,1296,21.6,61,,60,0,,,,34,5,3
1994,nyj,Opponents Totals,1,1843,22.2,98t,,83,,,,,,,
1994,dal,Team Totals,1,1168,20.9,96t,,56,0,,,,27,2,3
1994,dal,Opponents Totals,1,1380,18.4,91t,,75,,,,,,,
1994,latl,Team Totals,4,1675,23.6,102t,,71,0,,,,35,5,7
1994,latl,Opponents Totals,1,1572,24.2,96t,,65,,,,,,,
1994,lbuf,Team Totals,0,1402,21.2,55,,66,1,,,,37,3,3
1994,lbuf,Opponents Totals,1,1271,19.6,102t,,65,,,,,,,
1994,stl,Team Totals,0,1422,20.3,77,,70,0,,,,35,3,1
1994,stl,Opponents Totals,0,941,21.4,57,,44,,,,,,,
1994,det,Team Totals,1,1244,21.4,96t,,58,0,,,,28,3,1
1994,det,Opponents Totals,0,1912,21.5,51,,89,,,,,,,
1994,lac,Team Totals,2,1840,22.4,98t,,82,0,,,,45,6,4
1994,lac,Opponents Totals,0,1493,23.7,86,,63,,,,,,,
1994,ton,Team Totals,0,1627,21.7,69,,75,0,,,,41,5,4
1994,ton,Opponents Totals,0,1328,20.1,39,,66,,,,,,0,
1994,nyb,Team Totals,0,1605,22.6,57,,71,0,,,,44,3,2
1994,nyb,Opponents Totals,2,1446,23.0,98t,,63,,,,,,,
1995,lkc,Team Totals,0,1302,18.6,42,,70,0,,,,32,2,3
1995,lkc,Opponents Totals,0,1615,22.1,46,,73,,,,,,,
1995,har,Team Totals,1,1332,21.1,95t,,63,0,,,,34,2,1
1995,har,Opponents Totals,1,1546,22.7,84t,,68,,,,,,,
1995,llarm,Team Totals,0,1338,22.7,55,,59,1,,,,40,2,0
1995,llarm,Opponents Totals,0,1782,21.0,62,,85,,,,,,,
1995,min,Team Totals,0,1691,22.5,62,,75,0,,,,44,4,2
1995,min,Opponents Totals,0,1405,21.0,58,,67,,,,,,,
1995,larm,Team Totals,0,1613,20.9,58,,77,0,,,,35,6,7
1995,larm,Opponents Totals,0,987,23.5,42,,42,,,,,,,
1995,bal,Team Totals,0,1530,22.2,57,,69,0,,,,39,6,1
1995,bal,Opponents Totals,0,1544,17.5,62,,88,,,,,,,
1995,lten,Team Totals,0,1788,22.4,62,,80,0,,,,46,4,2
1995,lten,Opponents Totals,0,1475,22.7,64,,65,,,,,,,
1995,dul,Team Totals,0,1277,20.0,54,,64,1,,,,34,3,2
1995,dul,Opponents Totals,0,1467,18.8,47,,78,,,,,,,
1995,atl,Team Totals,0,1455,19.7,42,,74,0,,,,38,1,2
1995,atl,Opponents Totals,0,1172,18.6,45,,63,,,,,,,
1995,ham,Team Totals,1,1532,20.7,89t,,74,0,,,,40,2,4
1995,ham,Opponents Totals,1,1278,23.7,95t,,54,,,,,,,
1995,jac,Team Totals,2,1306,23.7,99t,,55,0,,,,32,4,0
1995,jac,Opponents Totals,0,1448,20.4,70,,71,,,,,,,
1995,lind,Team Totals,2,1502,21.5,92t,,70,0,,,,32,6,5
1995,lind,Opponents Totals,0,1496,23.7,86,,63,,,,,,,
1995,was,Team Totals,0,1620,22.5,70,,72,0,,,,46,5,6
1995,was,Opponents Totals,2,1669,23.8,99t,,70,,,,,,,
1995,col,Team Totals,0,1392,23.2,86,,60,0,,,,33,4,0
1995,col,Opponents Totals,2,1671,21.7,94t,,77,,,,,,,
1995,tol,Team Totals,1,1390,21.7,84t,,64,0,,,,31,3,3
1995,tol,Opponents Totals,0,1469,21.6,57,,68,,,,,,,
1995,ltb,Team Totals,0,1276,22.0,46,,58,0,,,,38,4,3
1995,ltb,Opponents Totals,0,1661,19.5,59,,85,,,,,,,
1995,lmin,Team Totals,1,1487,20.9,86t,,71,0,,,,39,3,0
1995,lmin,Opponents Totals,0,1576,25.8,70,,61,,,,,,,
